station,degree,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,pagerank,clustering_coefficient,is_articulation_point,zone,lines,is_interchange
Gokulpuri,2,0.008,0.0558,0.016,0.0063,0.0042,0,True,North East Delhi,Pink Line,False
Johri Enclave,2,0.008,0.0529,0.008,0.0029,0.0045,0,True,North East Delhi,Pink Line,False
Shiv Vihar,1,0.004,0.0502,0.0,0.0011,0.0025,0,False,North East Delhi,Pink Line,False
Janakpuri South,2,0.008,0.0572,0.0438,0.0001,0.0038,0,False,West Delhi,Magenta Line,False
Dashrath Puri,2,0.008,0.0569,0.043,0.0001,0.0039,0,False,South West Delhi,Magenta Line,False
Palam,2,0.008,0.0568,0.0428,0.0001,0.0039,0,False,South West Delhi,Magenta Line,False
Sadar Bazaar Cantonment,2,0.008,0.0569,0.043,0.0001,0.0039,0,False,South West Delhi,Magenta Line,False
Terminal 1 IGI Airport,2,0.008,0.0576,0.0446,0.0002,0.004,0,False,South West Delhi,Magenta Line,False
Shankar Vihar,2,0.008,0.0587,0.0474,0.0004,0.004,0,False,South West Delhi,Magenta Line,False
Vasant Vihar,2,0.008,0.0601,0.0504,0.0009,0.0039,0,False,South Delhi,Magenta Line,False
Munirka,2,0.008,0.0616,0.0538,0.0019,0.0039,0,False,South Delhi,Magenta Line,False
RK Puram,2,0.008,0.064,0.0587,0.0041,0.0038,0,False,South Delhi,Magenta Line,False
IIT Delhi,2,0.008,0.0675,0.0653,0.0087,0.0036,0,False,South Delhi,Magenta Line,False
Panchsheel Park,2,0.008,0.0686,0.0742,0.009,0.0036,0,False,South Delhi,Magenta Line,False
Chirag Delhi,2,0.008,0.066,0.07,0.005,0.0037,0,False,South Delhi,Magenta Line,False
Greater Kailash,2,0.008,0.0645,0.0674,0.0039,0.0037,0,False,South Delhi,Magenta Line,False
Nehru Enclave,2,0.008,0.0648,0.0682,0.0051,0.0036,0,False,South Delhi,Magenta Line,False
Okhla NSIC,2,0.008,0.0642,0.0735,0.0044,0.0036,0,False,South Delhi,Magenta Line,False
Sukhdev Vihar,2,0.008,0.0612,0.0673,0.0021,0.0038,0,False,South Delhi,Magenta Line,False
Jamia Millia Islamia,2,0.008,0.0585,0.0615,0.001,0.0039,0,False,South Delhi,Magenta Line,False
Okhla Vihar,2,0.008,0.0567,0.0568,0.0005,0.0039,0,False,South Delhi,Magenta Line,False
Jasola Vihar Shaheen Bagh,2,0.008,0.0553,0.0535,0.0003,0.0039,0,False,South Delhi,Magenta Line,False
Kalindi Kunj,2,0.008,0.055,0.0523,0.0002,0.0039,0,False,South Delhi,Magenta Line,False
Okhla Bird Sanctuary,2,0.008,0.0553,0.0537,0.0003,0.0038,0,False,Noida,Magenta Line,False
Shivaji Stadium,2,0.008,0.0785,0.107,0.1319,0.0034,0,False,Central Delhi,Airport Express Line,False
Dhaula Kuan,3,0.012,0.0787,0.147,0.09,0.005,0,False,South Delhi,Airport Express Line,False
Delhi Aerocity,2,0.008,0.0737,0.0851,0.043,0.0036,0,False,South West Delhi,Airport Express Line,False
Airport (Terminal 3),2,0.008,0.0693,0.0781,0.0213,0.0038,0,False,South West Delhi,Airport Express Line,False
Yashobhoomi Dwarka Sector 25,1,0.004,0.0614,0.0,0.0047,0.0022,0,False,South West Delhi,Airport Express Line,False
Nangli,2,0.008,0.0471,0.016,0.0,0.0041,0,True,South West Delhi,Grey Line,False
Najafgarh,2,0.008,0.045,0.008,0.0,0.0044,0,True,South West Delhi,Grey Line,False
Dhansa Bus Stand,1,0.004,0.0431,0.0,0.0,0.0025,0,False,South West Delhi,Grey Line,False
Phase 2,2,0.008,0.0457,0.0624,0.0,0.0039,0,True,Gurugram,Rapid Metro Gurgaon,False
Belvedere Towers,2,0.008,0.0438,0.0549,0.0,0.0039,0,True,Gurugram,Rapid Metro Gurgaon,False
Cyber City,2,0.008,0.042,0.0472,0.0,0.004,0,True,Gurugram,Rapid Metro Gurgaon,False
Moulsari Avenue,2,0.008,0.0404,0.0395,0.0,0.004,0,True,Gurugram,Rapid Metro Gurgaon,False
Phase 3,2,0.008,0.0389,0.0317,0.0,0.0041,0,True,Gurugram,Rapid Metro Gurgaon,False
Sector 42-43,2,0.008,0.0375,0.0239,0.0,0.0042,0,True,Gurugram,Rapid Metro Gurgaon,False
Sector 53-54,2,0.008,0.0362,0.016,0.0,0.0043,0,True,Gurugram,Rapid Metro Gurgaon,False
Sector 54 Chowk,2,0.008,0.0349,0.008,0.0,0.0046,0,True,Gurugram,Rapid Metro Gurgaon,False
Sector 55-56,1,0.004,0.0337,0.0,0.0,0.0026,0,False,Gurugram,Rapid Metro Gurgaon,False
Noida Sector 51,2,0.008,0.0454,0.0774,0.0,0.0038,0,True,Noida,Aqua Line,False
Noida Sector 50,2,0.008,0.0436,0.07,0.0,0.0039,0,True,Noida,Aqua Line,False
Noida Sector 76,2,0.008,0.0419,0.0624,0.0,0.004,0,True,Noida,Aqua Line,False
Noida Sector 101,2,0.008,0.0403,0.0549,0.0,0.004,0,True,Noida,Aqua Line,False
Noida Sector 81,2,0.008,0.0388,0.0472,0.0,0.004,0,True,Noida,Aqua Line,False
NSEZ,2,0.008,0.0374,0.0395,0.0,0.0041,0,True,Noida,Aqua Line,False
Noida Sector 83,2,0.008,0.0361,0.0317,0.0,0.0041,0,True,Noida,Aqua Line,False
Noida Sector 137,2,0.008,0.0349,0.0239,0.0,0.0042,0,True,Noida,Aqua Line,False
Noida Sector 142,2,0.008,0.0337,0.016,0.0,0.0044,0,True,Noida,Aqua Line,False
Pari Chowk,2,0.008,0.0327,0.008,0.0,0.0046,0,True,Greater Noida,Aqua Line,False
Depot,1,0.004,0.0316,0.0,0.0,0.0026,0,False,Greater Noida,Aqua Line,False
